Temperatur for Cap.1 (°C);Ratio 350 nm / 330 nm for Cap.1;Temperatur for Cap.1 (°C);Turbidity for Cap.1;Temperatur for Cap.1 (°C);Cumulant Radius for Cap.1 (nm);Temperatur for Cap.2 (°C);Ratio 350 nm / 330 nm for Cap.2;Temperatur for Cap.2 (°C);Turbidity for Cap.2;Temperatur for Cap.2 (°C);Cumulant Radius for Cap.2 (nm)
53.0;1.1893;53.0;0.0004;53.0;5.299;53.0;1.2693;53.0;0.0009;53.0;5.599
53.5;1.1966;53.5;0.0004;53.5;5.313;53.5;1.2766;53.5;0.0009;53.5;5.613
54.0;1.2103;54.0;0.0004;54.0;5.327;54.0;1.2903;54.0;0.0009;54.0;5.627
54.5;1.2246;54.5;0.0005;54.5;5.342;54.5;1.3046;54.5;0.0010;54.5;5.642
55.0;1.2333;55.0;0.0005;55.0;5.358;55.0;1.3133;55.0;0.0010;55.0;5.658
55.5;1.2485;55.5;0.0005;55.5;5.374;55.5;1.3285;55.5;0.0010;55.5;5.674
56.0;1.2641;56.0;0.0005;56.0;5.390;56.0;1.3441;56.0;0.0010;56.0;5.690
56.5;1.2742;56.5;0.0005;56.5;5.408;56.5;1.3542;56.5;0.0010;56.5;5.708
57.0;1.2907;57.0;0.0005;57.0;5.426;57.0;1.3707;57.0;0.0010;57.0;5.726
57.5;1.3076;57.5;0.0005;57.5;5.444;57.5;1.3876;57.5;0.0010;57.5;5.744
58.0;1.3189;58.0;0.0005;58.0;5.463;58.0;1.3989;58.0;0.0010;58.0;5.763
58.5;1.3365;58.5;0.0006;58.5;5.483;58.5;1.4165;58.5;0.0011;58.5;5.783
59.0;1.3544;59.0;0.0006;59.0;5.504;59.0;1.4344;59.0;0.0011;59.0;5.804
59.5;1.3666;59.5;0.0006;59.5;5.525;59.5;1.4466;59.5;0.0011;59.5;5.825
60.0;1.3850;60.0;0.0006;60.0;5.547;60.0;1.4650;60.0;0.0011;60.0;5.847
60.5;1.4036;60.5;0.0006;60.5;5.570;60.5;1.4836;60.5;0.0011;60.5;5.870
61.0;1.4163;61.0;0.0006;61.0;5.593;61.0;1.4963;61.0;0.0011;61.0;5.893
61.5;1.4351;61.5;0.0007;61.5;5.618;61.5;1.5151;61.5;0.0012;61.5;5.918
62.0;1.4540;62.0;0.0007;62.0;5.642;62.0;1.5340;62.0;0.0012;62.0;5.942
62.5;1.4669;62.5;0.0007;62.5;5.668;62.5;1.5469;62.5;0.0012;62.5;5.968
63.0;1.4857;63.0;0.0007;63.0;5.694;63.0;1.5657;63.0;0.0012;63.0;5.994
63.5;1.5044;63.5;0.0007;63.5;5.721;63.5;1.5844;63.5;0.0012;63.5;6.021
64.0;1.5170;64.0;0.0007;64.0;5.749;64.0;1.5970;64.0;0.0012;64.0;6.049
64.5;1.5354;64.5;0.0008;64.5;5.778;64.5;1.6154;64.5;0.0013;64.5;6.078
65.0;1.5536;65.0;0.0008;65.0;5.807;65.0;1.6336;65.0;0.0013;65.0;6.107
65.5;1.5655;65.5;0.0008;65.5;5.837;65.5;1.6455;65.5;0.0013;65.5;6.137
66.0;1.5831;66.0;0.0008;66.0;5.867;66.0;1.6631;66.0;0.0013;66.0;6.167
66.5;1.6004;66.5;0.0008;66.5;5.898;66.5;1.6804;66.5;0.0013;66.5;6.198
67.0;1.6113;67.0;0.0009;67.0;5.930;67.0;1.6913;67.0;0.0014;67.0;6.230
67.5;1.6278;67.5;0.0009;67.5;5.962;67.5;1.7078;67.5;0.0014;67.5;6.262
68.0;1.6439;68.0;0.0009;68.0;5.995;68.0;1.7239;68.0;0.0014;68.0;6.295
68.5;1.6535;68.5;0.0009;68.5;6.029;68.5;1.7335;68.5;0.0014;68.5;6.329
69.0;1.6687;69.0;0.0010;69.0;6.063;69.0;1.7487;69.0;0.0015;69.0;6.363
69.5;1.6834;69.5;0.0010;69.5;6.098;69.5;1.7634;69.5;0.0015;69.5;6.398
70.0;1.6917;70.0;0.0010;70.0;6.133;70.0;1.7717;70.0;0.0015;70.0;6.433
70.5;1.7054;70.5;0.0010;70.5;6.168;70.5;1.7854;70.5;0.0015;70.5;6.468
71.0;1.7187;71.0;0.0011;71.0;6.204;71.0;1.7987;71.0;0.0016;71.0;6.504
71.5;1.7255;71.5;0.0011;71.5;6.240;71.5;1.8055;71.5;0.0016;71.5;6.540
72.0;1.7378;72.0;0.0011;72.0;6.277;72.0;1.8178;72.0;0.0016;72.0;6.577
72.5;1.7496;72.5;0.0011;72.5;6.313;72.5;1.8296;72.5;0.0016;72.5;6.613
73.0;1.7550;73.0;0.0012;73.0;6.350;73.0;1.8350;73.0;0.0017;73.0;6.650
73.5;1.7659;73.5;0.0012;73.5;6.388;73.5;1.8459;73.5;0.0017;73.5;6.688
74.0;1.7763;74.0;0.0012;74.0;6.425;74.0;1.8563;74.0;0.0017;74.0;6.725
74.5;1.7803;74.5;0.0013;74.5;6.463;74.5;1.8603;74.5;0.0018;74.5;6.763
75.0;1.7899;75.0;0.0013;75.0;6.500;75.0;1.8699;75.0;0.0018;75.0;6.800
75.5;1.7991;75.5;0.0013;75.5;6.537;75.5;1.8791;75.5;0.0018;75.5;6.837
76.0;1.8018;76.0;0.0013;76.0;6.575;76.0;1.8818;76.0;0.0018;76.0;6.875
76.5;1.8102;76.5;0.0014;76.5;6.612;76.5;1.8902;76.5;0.0019;76.5;6.912
77.0;1.8182;77.0;0.0014;77.0;6.650;77.0;1.8982;77.0;0.0019;77.0;6.950
77.5;1.8198;77.5;0.0015;77.5;6.687;77.5;1.8998;77.5;0.0020;77.5;6.987
78.0;1.8271;78.0;0.0015;78.0;6.723;78.0;1.9071;78.0;0.0020;78.0;7.023
78.5;1.8341;78.5;0.0015;78.5;6.760;78.5;1.9141;78.5;0.0020;78.5;7.060
79.0;1.8348;79.0;0.0016;79.0;6.796;79.0;1.9148;79.0;0.0021;79.0;7.096
79.5;1.8412;79.5;0.0016;79.5;6.832;79.5;1.9212;79.5;0.0021;79.5;7.132
80.0;1.8473;80.0;0.0016;80.0;6.867;80.0;1.9273;80.0;0.0021;80.0;7.167
80.5;1.8472;80.5;0.0017;80.5;6.902;80.5;1.9272;80.5;0.0022;80.5;7.202
81.0;1.8528;81.0;0.0017;81.0;6.937;81.0;1.9328;81.0;0.0022;81.0;7.237
81.5;1.8582;81.5;0.0018;81.5;6.971;81.5;1.9382;81.5;0.0023;81.5;7.271
82.0;1.8573;82.0;0.0018;82.0;7.005;82.0;1.9373;82.0;0.0023;82.0;7.305
82.5;1.8623;82.5;0.0019;82.5;7.038;82.5;1.9423;82.5;0.0024;82.5;7.338
83.0;1.8670;83.0;0.0019;83.0;7.070;83.0;1.9470;83.0;0.0024;83.0;7.370
83.5;1.8656;83.5;0.0020;83.5;7.102;83.5;1.9456;83.5;0.0025;83.5;7.402
84.0;1.8700;84.0;0.0020;84.0;7.133;84.0;1.9500;84.0;0.0025;84.0;7.433
84.5;1.8742;84.5;0.0021;84.5;7.163;84.5;1.9542;84.5;0.0026;84.5;7.463
85.0;1.8723;85.0;0.0021;85.0;7.193;85.0;1.9523;85.0;0.0026;85.0;7.493
85.5;1.8763;85.5;0.0022;85.5;7.222;85.5;1.9563;85.5;0.0027;85.5;7.522
86.0;1.8801;86.0;0.0022;86.0;7.251;86.0;1.9601;86.0;0.0027;86.0;7.551
86.5;1.8777;86.5;0.0023;86.5;7.279;86.5;1.9577;86.5;0.0028;86.5;7.579
87.0;1.8813;87.0;0.0023;87.0;7.306;87.0;1.9613;87.0;0.0028;87.0;7.606
87.5;1.8848;87.5;0.0024;87.5;7.332;87.5;1.9648;87.5;0.0029;87.5;7.632
88.0;1.8821;88.0;0.0025;88.0;7.358;88.0;1.9621;88.0;0.0030;88.0;7.658
88.5;1.8854;88.5;0.0025;88.5;7.382;88.5;1.9654;88.5;0.0030;88.5;7.682
89.0;1.8886;89.0;0.0026;89.0;7.407;89.0;1.9686;89.0;0.0031;89.0;7.707
89.5;1.8857;89.5;0.0027;89.5;7.430;89.5;1.9657;89.5;0.0032;89.5;7.730
90.0;1.8887;90.0;0.0027;90.0;7.453;90.0;1.9687;90.0;0.0032;90.0;7.753
90.5;1.8917;90.5;0.0028;90.5;7.475;90.5;1.9717;90.5;0.0033;90.5;7.775
91.0;1.8885;91.0;0.0029;91.0;7.496;91.0;1.9685;91.0;0.0034;91.0;7.796
91.5;1.8914;91.5;0.0029;91.5;7.517;91.5;1.9714;91.5;0.0034;91.5;7.817
92.0;1.8941;92.0;0.0030;92.0;7.537;92.0;1.9741;92.0;0.0035;92.0;7.837
92.5;1.8908;92.5;0.0031;92.5;7.556;92.5;1.9708;92.5;0.0036;92.5;7.856
93.0;1.8935;93.0;0.0032;93.0;7.574;93.0;1.9735;93.0;0.0037;93.0;7.874
93.5;1.8961;93.5;0.0032;93.5;7.592;93.5;1.9761;93.5;0.0037;93.5;7.892
94.0;1.8927;94.0;0.0033;94.0;7.610;94.0;1.9727;94.0;0.0038;94.0;7.910
94.5;1.8952;94.5;0.0034;94.5;7.626;94.5;1.9752;94.5;0.0039;94.5;7.926
95.0;1.8977;95.0;0.0035;95.0;7.642;95.0;1.9777;95.0;0.0040;95.0;7.942
